taxon_unit_rtu,taxon_unit_species,taxon_unit_genus,taxon_unit_family,taxo_level,species_key,binomial,genus,family,order,class,valid_name,name
species:cdnom:9435,species:cdnom:9435,genus:Demetrias,family:Carabidae,species,cdnom:9435,Demetrias atricapillus,Demetrias,Carabidae,Coleoptera,Insecta,"Demetrias atricapillus (Linnaeus, 1758)",Demetrias atricapillus
species:cdnom:8321,species:cdnom:8321,genus:Cicindela,family:Carabidae,species,cdnom:8321,Cicindela campestris,Cicindela,Carabidae,Coleoptera,Insecta,"Cicindela campestris Linnaeus, 1758",Cicindela campestris
species:cdnom:9207,species:cdnom:9207,genus:Amara,family:Carabidae,species,cdnom:9207,Amara kulti,Amara,Carabidae,Coleoptera,Insecta,"Amara kulti Fassati, 1947",Amara kulti
species:cdnom:222558,species:cdnom:222558,genus:Pterostichus,family:Carabidae,species,cdnom:222558,Pterostichus melanarius,Pterostichus,Carabidae,Coleoptera,Insecta,"Pterostichus melanarius (Illiger, 1798)",Pterostichus melanarius
species:cdnom:8700,species:cdnom:8700,genus:Tachys,family:Carabidae,species,cdnom:8700,Tachys bistriatus,Tachys,Carabidae,Coleoptera,Insecta,"Tachys bistriatus (Duftschmid, 1812)",Tachys bistriatus
species:cdnom:222456,species:cdnom:222456,genus:Harpalus,family:Carabidae,species,cdnom:222456,Harpalus luteicornis,Harpalus,Carabidae,Coleoptera,Insecta,"Harpalus luteicornis (Duftschmid, 1812)",Harpalus luteicornis
species:cdnom:8540,species:cdnom:8540,genus:Loricera,family:Carabidae,species,cdnom:8540,Loricera pilicornis,Loricera,Carabidae,Coleoptera,Insecta,"Loricera pilicornis (Fabricius, 1775)",Loricera pilicornis
species:cdnom:222945,species:cdnom:222945,genus:Asaphidion,family:Carabidae,species,cdnom:222945,Asaphidion stierlini,Asaphidion,Carabidae,Coleoptera,Insecta,"Asaphidion stierlini (Heyden, 1880)",Asaphidion stierlini
species:cdnom:780498,species:cdnom:780498,genus:Bembidion,family:Carabidae,species,cdnom:780498,Bembidion tetracolum,Bembidion,Carabidae,Coleoptera,Insecta,"Bembidion tetracolum Say, 1823",Bembidion tetracolum
species:cdnom:9136,species:cdnom:9136,genus:Pterostichus,family:Carabidae,species,cdnom:9136,Pterostichus vernalis,Pterostichus,Carabidae,Coleoptera,Insecta,"Pterostichus vernalis (Panzer, 1796)",Pterostichus vernalis
species:cdnom:8819,species:cdnom:8819,genus:Agonum,family:Carabidae,species,cdnom:8819,Agonum muelleri,Agonum,Carabidae,Coleoptera,Insecta,"Agonum muelleri (Herbst, 1784)",Agonum muelleri
species:cdnom:8533,species:cdnom:8533,genus:Notiophilus,family:Carabidae,species,cdnom:8533,Notiophilus substriatus,Notiophilus,Carabidae,Coleoptera,Insecta,"Notiophilus substriatus G.R. Waterhouse, 1833",Notiophilus substriatus
species:cdnom:8617,species:cdnom:8617,genus:Bembidion,family:Carabidae,species,cdnom:8617,Bembidion quadrimaculatum,Bembidion,Carabidae,Coleoptera,Insecta,"Bembidion quadrimaculatum (Linnaeus, 1761)",Bembidion quadrimaculatum
species:cdnom:9206,species:cdnom:9206,genus:Amara,family:Carabidae,species,cdnom:9206,Amara fulvipes,Amara,Carabidae,Coleoptera,Insecta,"Amara fulvipes (Audinet-Serville, 1821)",Amara fulvipes
species:cdnom:9310,species:cdnom:9310,genus:Harpalus,family:Carabidae,species,cdnom:9310,Harpalus serripes,Harpalus,Carabidae,Coleoptera,Insecta,"Harpalus serripes (Quensel in Schönherr, 1806)",Harpalus serripes
