taxon_unit,cd_ref,accepted_name,genus,family,observed_in_assemblage,candidate_origin
species:cdref:227554,227554,Opisthocheiron fallax,Opisthocheiron,Opisthocheiridae,FALSE,TAXREF_mainland
species:cdref:227555,227555,Opisthocheiron lacazei,Opisthocheiron,Opisthocheiridae,FALSE,TAXREF_mainland
species:cdref:227556,227556,Opisthocheiron penicillatum,Opisthocheiron,Opisthocheiridae,FALSE,TAXREF_mainland
species:cdref:227500,227500,Origmatogona kimeorum,Origmatogona,Origmatogonidae,FALSE,TAXREF_mainland
species:cdref:227525,227525,Orthochordeumella fulva,Orthochordeumella,Chordeumatidae,FALSE,TAXREF_mainland
species:cdref:227526,227526,Orthochordeumella leclerci,Orthochordeumella,Chordeumatidae,FALSE,TAXREF_mainland
species:cdref:227527,227527,Orthochordeumella pallida,Orthochordeumella,Chordeumatidae,FALSE,TAXREF_mainland
species:cdref:227528,227528,Orthochordeumella pyrenaica,Orthochordeumella,Chordeumatidae,FALSE,TAXREF_mainland
species:cdref:888026,888026,Pachyiulus flavipes,Pachyiulus,Julidae,FALSE,TAXREF_mainland
species:cdref:888027,888027,Pachyiulus oenologus,Pachyiulus,Julidae,FALSE,TAXREF_mainland
species:cdref:227675,227675,Pachyiulus varius,Pachyiulus,Julidae,FALSE,TAXREF_mainland
species:cdref:227529,227529,Parachordeuma broelemanni,Parachordeuma,Chordeumatidae,FALSE,TAXREF_mainland
species:cdref:1027131,1027131,Paraspirobolus lucifugus,Paraspirobolus,Spirobolellidae,FALSE,TAXREF_mainland
species:cdnom:64877,64877,Polydesmus angustus,Polydesmus,Polydesmidae,TRUE,observed_RMQS
species:cdref:227697,227697,Polydesmus asthenestatus,Polydesmus,Polydesmidae,FALSE,TAXREF_mainland
species:cdref:227698,227698,Polydesmus barberii,Polydesmus,Polydesmidae,FALSE,TAXREF_mainland
species:cdnom:227699,227699,Polydesmus coriaceus,Polydesmus,Polydesmidae,TRUE,observed_RMQS
species:cdref:955450,955450,Polydesmus corsicus,Polydesmus,Polydesmidae,FALSE,TAXREF_mainland
species:cdnom:227700,227700,Polydesmus denticulatus,Polydesmus,Polydesmidae,TRUE,observed_RMQS
species:cdref:227701,227701,Polydesmus geoffroyi,Polydesmus,Polydesmidae,FALSE,TAXREF_mainland
species:cdref:227702,227702,Polydesmus incisus,Polydesmus,Polydesmidae,FALSE,TAXREF_mainland
species:cdnom:227703,227703,Polydesmus inconstans,Polydesmus,Polydesmidae,TRUE,observed_RMQS
